pid,found,majorcat,school,college_area,sex,age,graduy,gradum,industry,occupation,firm_size2,firm_size,firm_type,job_status,worktime1,worktime2,worktime3,income,health_insur,employ_insur,labor_union,labor_union2,gpa,leave_of_absence,graduate_college,arba,language_train,job_train,certification,birth_area,living_area,faedu,maedu,pre_parent_income,parent_income,military,weight,year,col_code,experience,colcode_2,elite_college,edu,general_highschool,transfer,career_ready,college_satisfaction,stem_major,lnincome,worktime,hourly_income,ln_hourly_income,lnworktime
61694,3,2,2,10,1,26.41666666666667,2014,2,95,7,3,3,1,1,40,2,1,211.18944,1,1,3,,3.9,1,,1,2,2,2,5,8,6,6,3,3,1,29.431805985983,14,53063000,18,530630,0,1,1,0,3,3.7142856,0,5.3527555,43,11421.819,9.3432808,3.7612002
61702,3,2,2,17,1,26.91666666666667,2014,2,58,5,4,4,1,1,40,0,0,175.28723,1,1,2,,3.6,1,,1,2,1,2,8,1,6,6,4,3,1,28.6290127347264,14,53018000,3.5,530181,0,1,1,0,3,3.2857144,0,5.1664262,40,10191.118,9.2292719,3.6888795
61707,1,2,2,2,1,27,2014,2,47,7,9,6,1,1,60,0,0,439.27402,3,3,2,,3.06,1,,1,2,2,1,2,3,4,4,5,5,1,28.3305388229802,14,51011000,2,510110,1,2,1,0,0,3.7142856,0,6.0851235,60,17026.125,9.7425041,4.0943446
61708,1,2,2,2,2,26.16666666666667,2014,2,22,7,9,6,1,1,40,7,1,316.78415,1,1,2,,3.7,1,,1,1,2,1,2,1,5,4,5,5,0,33.641956641611,14,51011000,19,510110,1,2,1,0,4,4,0,5.7582207,48,15348.069,9.6387453,3.871201
61713,3,2,2,2,1,23.75,2014,2,84,3,9,9,5,1,40,8,2,219.63701,1,1,2,,3.4,2,,1,2,2,2,2,8,4,5,4,3,1,29.0602485960426,14,53045000,18,530450,0,1,1,0,0,3.4285715,0,5.3919764,50,10215.675,9.231679,3.9120231
61725,3,2,2,14,1,26.75,2014,2,46,7,2,2,1,1,40,0,0,232.30838,1,1,2,,3.7,1,,1,2,2,2,3,3,4,4,5,5,1,29.4539019683241,14,53031000,18,530310,0,1,1,0,0,4.4285712,0,5.4480658,40,13506.301,9.5109119,3.6888795
61738,3,2,2,15,2,25,2014,2,85,3,2,2,3,1,40,5,5,219.63701,1,1,2,,3.8,1,,1,2,2,2,8,7,4,4,4,4,0,37.798398471908,14,53009000,5,530090,0,1,1,0,0,3,0,5.3919764,50,10215.675,9.231679,3.9120231
61739,1,2,2,15,1,25.75,2014,2,24,7,7,7,1,1,50,1,8,395.98019,1,1,2,,4,2,,2,2,2,2,2,2,3,4,6,6,1,26.3418654273663,14,61206000,20,612060,0,1,1,0,3,3.5714285,0,5.9813643,59,15608.206,9.6555519,4.0775375
61743,1,2,2,6,2,25.5,2014,2,71,1,6,6,1,1,40,12,1,211.18944,1,1,2,,3.8,1,,1,1,1,1,6,1,4,4,4,4,0,34.4756353153505,14,51016000,8,510160,1,2,1,0,6,2.8571429,0,5.3527555,53,9266.7588,9.1341887,3.9702919
61745,3,2,2,6,1,27.33333333333333,2014,2,46,7,9,9,1,1,40,0,0,263.98679,1,1,2,,3.8,1,,2,2,2,1,12,8,4,4,5,5,1,24.8554183503236,14,53097000,11,530970,0,1,1,0,2,3.4285715,0,5.5758991,40,15348.069,9.6387453,3.6888795
61746,3,2,2,6,2,26.5,2013,8,46,1,9,5,1,1,40,20,0,274.54626,1,1,2,,3.9,1,,2,2,1,1,6,6,4,3,3,3,0,33.271962978924,14,53097000,9,530970,0,1,1,0,6,3.5714285,0,5.6151199,60,10641.328,9.272501,4.0943446
61754,1,2,2,13,1,23.91666666666667,2014,2,84,3,9,6,5,1,40,5,0,263.98679,1,1,2,,3.8,2,,1,2,2,1,13,13,4,5,7,7,1,27.2797736294292,14,51008000,18,510080,0,1,1,0,0,3.8571429,0,5.5758991,45,13642.728,9.5209618,3.8066626
61773,3,2,2,8,1,28.58333333333333,2013,8,10,1,6,4,1,1,40,0,0,263.98679,1,1,2,,3.6,1,,1,1,2,2,1,8,4,4,3,3,1,32.2650219043622,14,53008000,13,530080,1,2,1,0,2,3.1428571,0,5.5758991,40,15348.069,9.6387453,3.6888795
61775,3,2,2,8,1,26.66666666666667,2013,8,47,1,,,1,1,55,0,0,211.18944,1,1,1,2,3.8,1,,1,2,2,1,1,10,4,3,3,2,1,32.2056585426349,14,53085000,22,530850,0,1,1,0,3,3.7142856,0,5.3527555,55,8929.7861,9.0971479,4.0073333
61788,3,2,2,4,2,24.5,2014,2,94,1,2,2,4,1,40,0,0,211.18944,1,1,2,,4.2,2,,2,2,2,2,4,4,6,4,4,4,0,38.0013226449099,14,53115000,11,531150,0,1,1,0,0,4,0,5.3527555,40,12278.456,9.4156017,3.6888795
61808,3,2,2,2,1,27.25,2014,2,46,7,3,2,1,1,60,0,0,193.23833,1,3,1,3,3.6,1,,1,2,2,1,2,1,4,3,5,5,1,31.0420618460559,14,53053000,18,530530,0,1,1,0,2,3.8571429,0,5.2639241,60,7489.8574,8.9213047,4.0943446
61823,3,2,2,6,2,23.83333333333333,2014,2,47,7,1,1,1,1,48,0,0,158.39207,2,2,2,,3.7,2,,1,2,2,2,13,6,3,3,3,3,0,41.3961658579405,14,53024000,4,530240,0,1,1,0,1,3.1428571,0,5.0650735,48,7674.0347,8.9455976,3.871201
61842,3,2,2,1,2,24.5,2014,2,59,5,4,4,1,1,50,10,1,126.71366,2,2,2,,3.9,2,,2,2,2,2,1,1,7,4,6,6,0,22.8995954320759,14,53075000,18,530750,1,2,1,0,1,4,0,4.8419299,61,4830.8677,8.4827814,4.1108737
61843,3,2,2,1,2,25.66666666666667,2013,8,71,1,8,8,1,1,40,0,0,307.28064,1,1,1,1,3.6,1,,1,1,2,1,8,14,6,4,7,7,0,22.253268081939,14,53091000,11,530910,1,2,1,0,1,3,0,5.7277613,40,17865.154,9.7906075,3.6888795
61851,3,2,2,8,2,25.75,2013,8,58,1,5,5,1,1,40,3,3,184.79076,1,1,2,,4,1,,1,2,2,2,8,9,2,2,5,5,0,23.928480248513,14,53108000,7,531080,0,1,1,0,3,3.2857144,0,5.219224,46,9342.3027,9.1423082,3.8286414
61853,3,2,2,8,1,28.25,2013,8,71,5,4,4,1,1,40,15,1,221.7489,1,1,2,,3.2,1,,2,2,1,2,8,8,5,4,3,3,1,24.5443427161699,14,53122000,8,531220,1,2,1,0,3,2,0,5.4015455,56,9208.8418,9.1279192,4.0253515
61856,3,2,2,8,2,26.33333333333333,2013,8,71,1,5,5,1,1,40,3,2,263.98679,1,1,2,,3.7,1,,1,1,2,1,15,1,4,4,0,0,0,23.0392190378259,14,53123000,17,531231,0,1,1,0,2,3.8571429,0,5.5758991,45,13642.728,9.5209618,3.8066626
61857,3,2,2,8,1,28.16666666666667,2013,8,61,7,9,9,1,1,40,0,0,422.37888,1,1,1,1,4.2,1,,1,2,1,2,1,8,6,4,5,6,1,22.9190284908442,14,53123000,20,531231,0,1,1,0,3,2.5714285,0,6.0459027,40,24556.912,10.108748,3.6888795
61864,3,2,2,9,1,28.25,2013,8,71,1,4,4,1,1,40,15,2,219.63701,1,1,2,,4.3,1,,1,2,2,1,8,8,3,3,4,4,1,23.8958897705095,14,53118000,4,531180,0,1,1,0,3,2.7142856,0,5.3919764,57,8961.1182,9.1006498,4.0430512
61867,3,2,2,4,1,23.75,2014,2,84,3,9,9,5,1,40,0,0,184.79076,3,1,2,,3.1,2,,1,2,2,1,5,8,6,4,5,5,1,22.4808485545685,14,53037000,18,530370,0,1,1,0,0,2.2857144,0,5.219224,40,10743.648,9.2820702,3.6888795
61872,3,2,2,4,2,24.91666666666667,2014,2,47,1,8,2,1,1,40,10,0,142.55287,1,1,3,,3.93,1,,1,2,2,1,15,1,6,4,4,4,0,25.8224740307855,14,53050000,16,530500,0,1,1,0,4,3.7142856,0,4.959713,50,6630.3662,8.7994156,3.9120231
61884,3,2,2,10,2,24.16666666666667,2014,2,33,5,3,1,1,1,51,1,4,126.71366,3,3,2,,3.8,2,,1,2,2,1,8,8,5,4,4,4,0,26.2437030128588,14,53102000,23,531020,0,1,1,1,0,3.5714285,0,4.8419299,56,5262.1953,8.5683031,4.0253515
61887,3,2,2,11,1,23.83333333333333,2014,2,84,3,9,9,5,1,40,4,0,219.63701,1,1,2,,4.1,2,,1,2,2,1,2,8,4,4,3,3,1,23.5929275474507,14,53064000,18,530640,0,1,1,0,0,4,0,5.3919764,44,11608.722,9.3595123,3.7841897
61894,3,2,2,11,2,26.5,2014,2,71,1,5,5,1,1,40,4,0,200.62996,1,2,2,,3.6,2,,1,2,2,1,1,8,4,4,5,5,0,25.4325404610992,14,63202000,17,632020,0,1,1,0,3,3.8571429,0,5.3014622,44,10604.12,9.2689981,3.7841897
61898,3,2,2,17,1,28.66666666666667,2014,2,71,1,4,4,1,1,40,1,0,211.18944,1,1,3,,3.5,1,,1,1,2,2,8,8,6,4,6,5,1,23.4240446760578,14,53130000,4.5,531301,0,1,1,0,3,3,0,5.3527555,41,11978.981,9.3909092,3.713572
61899,3,2,2,17,1,28.83333333333333,2014,2,21,7,7,7,1,1,40,3,0,253.42732,1,1,1,2,3.5,2,,2,2,1,1,1,8,4,2,5,3,1,23.4240446760578,14,53130000,3,531301,0,1,1,0,1,3.7142856,0,5.5350771,43,13706.183,9.5256023,3.7612002
61902,3,2,2,17,2,25.5,2013,8,90,1,3,3,4,2,48,0,0,187.9586,1,1,2,,3.4,1,,2,1,2,2,2,14,6,6,3,3,0,27.4499863590685,14,53130000,8,531301,0,1,1,0,0,3.4285715,0,5.2362218,48,9106.5215,9.1167459,3.871201
61919,3,2,2,3,2,25,2013,8,29,1,5,5,1,1,40,0,0,190.0705,1,1,2,,3.8,1,,1,2,2,1,3,3,3,4,5,5,0,28.3557808195178,14,53017000,16,530170,0,1,1,0,1,3.5714285,0,5.247395,40,11050.61,9.3102407,3.6888795
61922,3,2,2,6,1,27.91666666666667,2014,2,84,3,9,9,5,1,40,4,0,219.63701,1,1,2,,4,2,,1,2,2,1,1,14,7,6,8,8,1,20.4936134672094,14,53148000,18,531480,0,1,1,0,3,3.5714285,0,5.3919764,44,11608.722,9.3595123,3.7841897
61925,1,2,2,16,2,25.83333333333333,2014,2,58,5,5,5,1,1,40,2,8,158.39207,1,1,2,,3.4,1,,2,1,2,2,16,16,6,4,6,6,0,26.8797284650652,14,51018000,6,510180,0,1,1,0,3,3,0,5.0650735,50,7367.0732,8.9047756,3.9120231
61931,3,2,2,1,2,28.91666666666667,2014,2,96,6,4,4,1,1,48,0,0,68.636566,3,3,2,,3.3,1,,1,2,1,1,1,1,4,4,2,2,0,30.0571385541238,14,53040000,13,530400,0,1,1,0,2,2.4285715,0,4.2288256,48,3325.415,8.1093502,3.871201
